username,location,followers,retweeted_og,tweetcreatedts,text,hashtags
PsycholoxD,Pakistan,4,none,2022-04-21 05:52:44+00:00,"
STOP SMOKING
https://t.co/kS82VUIJr4
+923456572766
#StopSmoking https://t.co/8LVsyltGfK","[{'text': 'StopSmoking', 'indices': [51, 63]}]"
AA1stFan,"Hyderabad, India",315,drmssm,2022-04-21 04:48:02+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
DavidRBradley,"Morro Bay, CA",6418,none,2022-04-21 02:38:18+00:00,"
Convincing Your Loved Ones To #STOPSmoking (2 tips to make it happen) https://t.co/FKJxkh5W8k https://t.co/t2zS3PnfPb","[{'text': 'STOPSmoking', 'indices': [30, 42]}]"
kishorevonteddu,"Suryapet, Telangana, India",2,drmssm,2022-04-21 01:57:58+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
noozelady,Minnesota,2062,none,2022-04-21 01:47:55+00:00,"
Just noticed a pack of smoke is over 10 bucks. I am so thankful I kicked the habit before the hit 3 dollars. #stopsmoking #kickthehabit","[{'text': 'stopsmoking', 'indices': [109, 121]}, {'text': 'kickthehabit', 'indices': [122, 135]}]"
SaiRakeshReddy9,,25,drmssm,2022-04-21 00:16:12+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
NHSShane,"Blackpool, England",221,NHSQuitTobacco,2022-04-20 23:33:18+00:00,"
RT @NHSQuitTobacco: @BlackpoolHosp is a smokefree site. If you’re a smoker admitted to one of our wards, you can get support to help reduce…",[]
NHSShane,"Blackpool, England",221,NHSQuitTobacco,2022-04-20 23:32:52+00:00,"
RT @NHSQuitTobacco: Don’t give up on quitting smoking – it can make you healthier, wealthier and happier – for more information and for hel…",[]
caffeinetocode,United States,139,drmssm,2022-04-20 22:09:14+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
UCL_TARG,"London, England",628,CochraneTAG,2022-04-20 21:03:18+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
liz_petch,,188,NHSQuitTobacco,2022-04-20 20:46:21+00:00,"
RT @NHSQuitTobacco: @BlackpoolHosp is a smokefree site. If you’re a smoker admitted to one of our wards, you can get support to help reduce…",[]
NHSQuitTobacco,"Blackpool, England",117,none,2022-04-20 20:06:15+00:00,"
@BlackpoolHosp is a smokefree site. If you’re a smoker admitted to one of our wards, you can get support to help reduce your tobacco cravings and withdrawal symptoms. If you’re ready to quit smoking we offer up to 12 weeks support and #stopsmoking medications after discharge ✅ https://t.co/G3ySAnXPrr","[{'text': 'stopsmoking', 'indices': [235, 247]}]"
breathefum,"Calgary, Canada",263,none,2022-04-20 20:00:40+00:00,"
As long as we think smoking gives us 'pleasure', we will NEVER be a happy non-smoker. 

#tobaccofree #quittobacco #nicotine #vapefree #stopsmoking","[{'text': 'tobaccofree', 'indices': [88, 100]}, {'text': 'quittobacco', 'indices': [101, 113]}, {'text': 'nicotine', 'indices': [114, 123]}, {'text': 'vapefree', 'indices': [124, 133]}, {'text': 'stopsmoking', 'indices': [134, 146]}]"
EHandPH,UK,258,none,2022-04-20 18:40:09+00:00,"
‘You can’t just ban it overnight. What happens to the people who are dependent on it?.. Sales restrictions based on birth date would instead concentrate efforts on preventing adolescents from taking up smoking in the first place’ #publichealth #stopsmoking https://t.co/oCIFkWsthT","[{'text': 'publichealth', 'indices': [230, 243]}, {'text': 'stopsmoking', 'indices': [244, 256]}]"
addyadderley,"Milwaukee, WI",211,ski3sdead,2022-04-20 18:23:38+00:00,"
RT @ski3sdead: I just found out weed makes u gay and a loser #stopsmoking","[{'text': 'stopsmoking', 'indices': [61, 73]}]"
ski3sdead,,84,none,2022-04-20 18:19:26+00:00,"
I just found out weed makes u gay and a loser #stopsmoking","[{'text': 'stopsmoking', 'indices': [46, 58]}]"
alisonslater_,,56,FreshSmokeFree,2022-04-20 18:08:36+00:00,"
RT @FreshSmokeFree: We're encouraging smokers to take up the offer of free #stopsmoking support to help offset the rising #CostOfLiving.

S…","[{'text': 'stopsmoking', 'indices': [75, 87]}, {'text': 'CostOfLiving', 'indices': [122, 135]}]"
caitlinbarry21,"Sunderland, UK",186,FreshSmokeFree,2022-04-20 17:57:02+00:00,"
RT @FreshSmokeFree: We're encouraging smokers to take up the offer of free #stopsmoking support to help offset the rising #CostOfLiving.

S…","[{'text': 'stopsmoking', 'indices': [75, 87]}, {'text': 'CostOfLiving', 'indices': [122, 135]}]"
NHSQuitTobacco,"Blackpool, England",117,none,2022-04-20 17:12:12+00:00,"
Don’t give up on quitting smoking – it can make you healthier, wealthier and happier – for more information and for help to quit smoking visit https://t.co/2v8UcAehAq For NHS #stopsmoking support in Blackpool call 0808 196 4324 https://t.co/2W26sEV2Hu","[{'text': 'stopsmoking', 'indices': [175, 187]}]"
thesmokefreeapp,,2151,FreshSmokeFree,2022-04-20 16:58:31+00:00,"
RT @FreshSmokeFree: We're encouraging smokers to take up the offer of free #stopsmoking support to help offset the rising #CostOfLiving.

S…","[{'text': 'stopsmoking', 'indices': [75, 87]}, {'text': 'CostOfLiving', 'indices': [122, 135]}]"
PSQuitSmoking,"Toronto, Ontario, Canada",1846,CochraneTAG,2022-04-20 16:49:40+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
srinee510199,Rajanna sircilla Telangana,49,drmssm,2022-04-20 16:49:27+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
RGurunt,"Bengaluru South, India",229,drmssm,2022-04-20 16:15:56+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
kittigadikoduku,India,2,drmssm,2022-04-20 16:07:38+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
hgasdgjnk,,7,drmssm,2022-04-20 15:57:00+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
lyndalouise11,,585,oylincolnshire,2022-04-20 15:46:56+00:00,"
RT @oylincolnshire: Come and see us today at @Bostonboro Market for the first stop on our multi-agency roadshow! 🔥🐕🚭‍🦺 

@MidsDog @LincsFir…",[]
MaheshN63831452,,72,drmssm,2022-04-20 15:00:29+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
rk501,"Bengaluru South, India",125,drmssm,2022-04-20 14:59:29+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
durga119,"Hyderabad, India",273,drmssm,2022-04-20 14:50:05+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
PhaniVarma55,ma intlo ne,624,drmssm,2022-04-20 14:44:33+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
RathodDarling11,,48,drmssm,2022-04-20 14:42:47+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
PreventiveBot,,754,FreshSmokeFree,2022-04-20 14:42:19+00:00,"
RT @FreshSmokeFree: We're encouraging smokers to take up the offer of free #stopsmoking support to help offset the rising #CostOfLiving.

S…","[{'text': 'stopsmoking', 'indices': [75, 87]}, {'text': 'CostOfLiving', 'indices': [122, 135]}]"
FreshSmokeFree,,2329,none,2022-04-20 14:37:09+00:00,"
We're encouraging smokers to take up the offer of free #stopsmoking support to help offset the rising #CostOfLiving.

Smokers in the North East and North Cumbria receive FREE online 24/7 support to quit smoking with @thesmokefreeapp. Visit https://t.co/KhrItsKKwt @NENC_ICS https://t.co/XXx03CTxug","[{'text': 'stopsmoking', 'indices': [55, 67]}, {'text': 'CostOfLiving', 'indices': [102, 115]}]"
SRaoCherukuri,తిరుమల శ్రీవారి భక్తుడను,928,drmssm,2022-04-20 14:35:21+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
Yass4999,,118,drmssm,2022-04-20 14:17:41+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
JULIEGRANT20,Lincolnshire,689,oylincolnshire,2022-04-20 14:15:51+00:00,"
RT @oylincolnshire: Come and see us today at @Bostonboro Market for the first stop on our multi-agency roadshow! 🔥🐕🚭‍🦺 

@MidsDog @LincsFir…",[]
ANTONIOSTEARDO,Salerno ,841,CochraneTAG,2022-04-20 13:46:11+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
Soumitra4you,,11,none,2022-04-20 13:33:39+00:00,"
Shame on you!!!!😡😡😡😡
@akshaykumar @SRKUniverse @SrBachchan @ajaydevgn #AkshayKumar #SalmanKhan #Vimal #gutka #stopsmoking #smoking #smokingkills @sushant_sfan #BoycottBollywood https://t.co/SEkT0a5JJQ","[{'text': 'AkshayKumar', 'indices': [70, 82]}, {'text': 'SalmanKhan', 'indices': [83, 94]}, {'text': 'Vimal', 'indices': [95, 101]}, {'text': 'gutka', 'indices': [102, 108]}, {'text': 'stopsmoking', 'indices': [109, 121]}, {'text': 'smoking', 'indices': [122, 130]}, {'text': 'smokingkills', 'indices': [131, 144]}, {'text': 'BoycottBollywood', 'indices': [159, 176]}]"
DrAzharVirk,"Old Leake, England",27,oylincolnshire,2022-04-20 13:19:43+00:00,"
RT @oylincolnshire: Come and see us today at @Bostonboro Market for the first stop on our multi-agency roadshow! 🔥🐕🚭‍🦺 

@MidsDog @LincsFir…",[]
Bostonboro,"Boston, Lincolnshire, England",4513,oylincolnshire,2022-04-20 13:13:09+00:00,"
RT @oylincolnshire: Come and see us today at @Bostonboro Market for the first stop on our multi-agency roadshow! 🔥🐕🚭‍🦺 

@MidsDog @LincsFir…",[]
panthernoster,Currently Germany ,1695,CochraneTAG,2022-04-20 12:47:54+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
DrSarahEJackson,London,1721,CochraneTAG,2022-04-20 12:37:29+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
68Vaper,Deutschland,345,CochraneTAG,2022-04-20 12:30:50+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
BRCAinfo,"Florida, USA",9130,valleygreengirl,2022-04-20 12:22:59+00:00,"
RT @valleygreengirl: New podcast episode dropped in Bladder Cancer Patient-to-Patient... ""How Did I Get Cancer?!?"" https://t.co/GjyOudAXuN…",[]
DampfFreiheit,Deutschland,931,CochraneTAG,2022-04-20 12:22:02+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
OxEBHC,"Oxford, England",1290,CochraneTAG,2022-04-20 11:51:14+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
lincsts,Lincolnshire,2733,oylincolnshire,2022-04-20 11:23:56+00:00,"
RT @oylincolnshire: Come and see us today at @Bostonboro Market for the first stop on our multi-agency roadshow! 🔥🐕🚭‍🦺 

@MidsDog @LincsFir…",[]
MeditationNott1,,33,TheMindfulGuy1,2022-04-20 11:21:01+00:00,"
RT @TheMindfulGuy1: Are you trying desperately to quit smoking?

This powerful FREE hypnosis session can help you to quit the smoking habit…",[]
LincolnshireCC,"Lincolnshire, UK",36863,oylincolnshire,2022-04-20 11:07:09+00:00,"
RT @oylincolnshire: Come and see us today at @Bostonboro Market for the first stop on our multi-agency roadshow! 🔥🐕🚭‍🦺 

@MidsDog @LincsFir…",[]
Rawgster,some where USA,416,CochraneTAG,2022-04-20 11:03:58+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
therameshgopi,"Bengaluru, India",53,drmssm,2022-04-20 11:02:40+00:00,"
RT @drmssm: Please stop smoking. Now. #stopsmoking #cad
#heartdisease #ditillu #drmukharjee #pulseheart https://t.co/pgGsugJZeq","[{'text': 'stopsmoking', 'indices': [38, 50]}, {'text': 'cad', 'indices': [51, 55]}, {'text': 'heartdisease', 'indices': [56, 69]}, {'text': 'ditillu', 'indices': [70, 78]}, {'text': 'drmukharjee', 'indices': [79, 91]}, {'text': 'pulseheart', 'indices': [92, 103]}]"
Sairahss,,839,CochraneTAG,2022-04-20 10:57:07+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
PreventiveBot,,754,CochraneTAG,2022-04-20 10:56:36+00:00,"
RT @CochraneTAG: Can #mindfulness help people to #stopsmoking? Check out our latest review! https://t.co/c442pIH9c1 https://t.co/vonitqv4AZ","[{'text': 'mindfulness', 'indices': [21, 33]}, {'text': 'stopsmoking', 'indices': [49, 61]}]"
