username,userID,location,followers,retweeted_og,tweetcreatedts,text,hashtags
PreventiveBot,1375244479049895941,,755,dutchbarracuda,2022-04-21 04:26:59+00:00,"
RT @dutchbarracuda: Little victory dance, it's been over 90 days since I #quitsmoking.
Including extremely stressful (read violent) days at…","[{'text': 'quitsmoking', 'indices': [73, 85]}]"
dutchbarracuda,232812122,United Kingdom,1585,none,2022-04-21 04:12:20+00:00,"
Little victory dance, it's been over 90 days since I #quitsmoking.
Including extremely stressful (read violent) days at work.","[{'text': 'quitsmoking', 'indices': [53, 65]}]"
TP_YMZusu,1422934335544455168,,1112,ClayFaceBass,2022-04-21 01:38:34+00:00,"
RT @ClayFaceBass: It's been 4 weeks since i #quitsmoking.","[{'text': 'quitsmoking', 'indices': [44, 56]}]"
StrayTurtle,3242523302,"California, USA",106,none,2022-04-21 00:14:33+00:00,"
Dang. I guess no tax break today. Today was day 8 since filing my taxes. Day 5 not smoking this morning. 😊 #QuitSmoking #Sober https://t.co/1iwKQnglHl","[{'text': 'QuitSmoking', 'indices': [107, 119]}, {'text': 'Sober', 'indices': [120, 126]}]"
Flippin_burgers,469822881,"San Francisco, Ca",39,onepathcoaching,2022-04-21 00:03:51+00:00,"
RT @onepathcoaching: I recently was certified to support clients to quit smoking. I have been certified in Hypnosis for over 10 years. Now…",[]
PreventiveBot,1375244479049895941,,755,onepathcoaching,2022-04-20 23:42:42+00:00,"
RT @onepathcoaching: I recently was certified to support clients to quit smoking. I have been certified in Hypnosis for over 10 years. Now…",[]
onepathcoaching,245680434,"Bay Area, Ca",235,none,2022-04-20 23:40:35+00:00,"
I recently was certified to support clients to quit smoking. I have been certified in Hypnosis for over 10 years. Now I have additional training that will support the process beyond the  session. DM me if you are interested in learning more. #smokingcessation #quitsmoking https://t.co/YdTsj3lUue","[{'text': 'smokingcessation', 'indices': [242, 259]}, {'text': 'quitsmoking', 'indices': [260, 272]}]"
PreventiveBot,1375244479049895941,,755,weightloss157,2022-04-20 23:27:17+00:00,"
RT @weightloss157: Daily Habit Hacks Ebook: Daily Steps To Break Bad Habits &amp; Create Good Ones! Wednesday April 21, 2022 at 02:14AM https:/…",[]
weightloss157,852039149037076480,,3361,none,2022-04-20 23:14:22+00:00,"
Daily Habit Hacks Ebook: Daily Steps To Break Bad Habits &amp; Create Good Ones! Wednesday April 21, 2022 at 02:14AM https://t.co/JZJN1EGCAv #Habits #quitsmoking","[{'text': 'Habits', 'indices': [141, 148]}, {'text': 'quitsmoking', 'indices': [149, 161]}]"
alphainstinct92,1115956477632503810,,117,none,2022-04-20 22:25:21+00:00,"
yesterday i had the urge to smoke and i was hearing voices at the same time it was like a spiritual battle but i won #quitsmoking #nicotinesucks","[{'text': 'quitsmoking', 'indices': [117, 129]}, {'text': 'nicotinesucks', 'indices': [130, 144]}]"
PreventiveBot,1375244479049895941,,755,princetonmedspa,2022-04-20 22:12:28+00:00,"
RT @princetonmedspa: Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/JdOi5PkbvM #stopsmokinglaser…","[{'text': 'StopSmokingLaserTherapy', 'indices': [45, 69]}, {'text': 'stopsmokinglaser', 'indices': [121, 138]}]"
PreventiveBot,1375244479049895941,,755,vitastorm05,2022-04-20 22:12:25+00:00,"
RT @vitastorm05: Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/mT1ycxjgDY #stopsmokinglaser #qui…","[{'text': 'StopSmokingLaserTherapy', 'indices': [41, 65]}, {'text': 'stopsmokinglaser', 'indices': [117, 134]}]"
PreventiveBot,1375244479049895941,,755,perm_cosmetics,2022-04-20 22:12:19+00:00,"
RT @perm_cosmetics: Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/m2vcGVvHnR #stopsmokinglaser #…","[{'text': 'StopSmokingLaserTherapy', 'indices': [44, 68]}, {'text': 'stopsmokinglaser', 'indices': [120, 137]}]"
PreventiveBot,1375244479049895941,,755,MediSpaNJ,2022-04-20 22:12:12+00:00,"
RT @MediSpaNJ: Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/GNQtkqjva2 #stopsmokinglaser #quits…","[{'text': 'StopSmokingLaserTherapy', 'indices': [39, 63]}, {'text': 'stopsmokinglaser', 'indices': [115, 132]}]"
princetonmedspa,887047795387113472,"Princeton, NJ",159,none,2022-04-20 22:00:12+00:00,"
Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/JdOi5PkbvM #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/FcsUToGrcd","[{'text': 'StopSmokingLaserTherapy', 'indices': [24, 48]}, {'text': 'stopsmokinglaser', 'indices': [100, 117]}, {'text': 'quitsmoking', 'indices': [118, 130]}, {'text': 'Smokingcessation', 'indices': [131, 148]}, {'text': 'laserstopsmokingnj', 'indices': [149, 168]}, {'text': 'stopsmokingnearme', 'indices': [169, 187]}, {'text': 'stopsmokinglasernj', 'indices': [188, 207]}]"
vitastorm05,760032852,,244,none,2022-04-20 22:00:12+00:00,"
Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/mT1ycxjgDY #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/zInNEJGqZx","[{'text': 'StopSmokingLaserTherapy', 'indices': [24, 48]}, {'text': 'stopsmokinglaser', 'indices': [100, 117]}, {'text': 'quitsmoking', 'indices': [118, 130]}, {'text': 'Smokingcessation', 'indices': [131, 148]}, {'text': 'laserstopsmokingnj', 'indices': [149, 168]}, {'text': 'stopsmokingnearme', 'indices': [169, 187]}, {'text': 'stopsmokinglasernj', 'indices': [188, 207]}]"
perm_cosmetics,606797588,USA,142,none,2022-04-20 22:00:12+00:00,"
Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/m2vcGVvHnR #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/Uwmvvz0LdF","[{'text': 'StopSmokingLaserTherapy', 'indices': [24, 48]}, {'text': 'stopsmokinglaser', 'indices': [100, 117]}, {'text': 'quitsmoking', 'indices': [118, 130]}, {'text': 'Smokingcessation', 'indices': [131, 148]}, {'text': 'laserstopsmokingnj', 'indices': [149, 168]}, {'text': 'stopsmokingnearme', 'indices': [169, 187]}, {'text': 'stopsmokinglasernj', 'indices': [188, 207]}]"
MediSpaNJ,718623348,USA,247,none,2022-04-20 22:00:12+00:00,"
Smoking hurts everyone. #StopSmokingLaserTherapy helps! Call: 800-518-3055. https://t.co/GNQtkqjva2 #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/s9O6tSRKFu","[{'text': 'StopSmokingLaserTherapy', 'indices': [24, 48]}, {'text': 'stopsmokinglaser', 'indices': [100, 117]}, {'text': 'quitsmoking', 'indices': [118, 130]}, {'text': 'Smokingcessation', 'indices': [131, 148]}, {'text': 'laserstopsmokingnj', 'indices': [149, 168]}, {'text': 'stopsmokingnearme', 'indices': [169, 187]}, {'text': 'stopsmokinglasernj', 'indices': [188, 207]}]"
ShelezaAhad,1090648441439555584,"Toronto, Ontario",19,PSQuitSmoking,2022-04-20 21:35:47+00:00,"
RT @PSQuitSmoking: As COVID-19 continued to impact individuals in Ontario, smokers may be at higher risk of negative health outcomes. Help…",[]
vitastorm05,760032852,,244,none,2022-04-20 20:57:03+00:00,"
#QuittingSmoking is difficult. Not any more! Introducing #StopSmokingLaser Call: 800-518-3055  https://t.co/mT1ycxjgDY #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/MLHoSlSB3R","[{'text': 'QuittingSmoking', 'indices': [0, 16]}, {'text': 'StopSmokingLaser', 'indices': [57, 74]}, {'text': 'stopsmokinglaser', 'indices': [119, 136]}, {'text': 'quitsmoking', 'indices': [137, 149]}, {'text': 'Smokingcessation', 'indices': [150, 167]}, {'text': 'laserstopsmokingnj', 'indices': [168, 187]}, {'text': 'stopsmokingnearme', 'indices': [188, 206]}, {'text': 'stopsmokinglasernj', 'indices': [207, 226]}]"
perm_cosmetics,606797588,USA,142,none,2022-04-20 20:57:03+00:00,"
#QuittingSmoking is difficult. Not any more! Introducing #StopSmokingLaser Call: 800-518-3055  https://t.co/m2vcGVvHnR #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/eiN0IbZDXy","[{'text': 'QuittingSmoking', 'indices': [0, 16]}, {'text': 'StopSmokingLaser', 'indices': [57, 74]}, {'text': 'stopsmokinglaser', 'indices': [119, 136]}, {'text': 'quitsmoking', 'indices': [137, 149]}, {'text': 'Smokingcessation', 'indices': [150, 167]}, {'text': 'laserstopsmokingnj', 'indices': [168, 187]}, {'text': 'stopsmokingnearme', 'indices': [188, 206]}, {'text': 'stopsmokinglasernj', 'indices': [207, 226]}]"
princetonmedspa,887047795387113472,"Princeton, NJ",159,none,2022-04-20 20:57:03+00:00,"
#QuittingSmoking is difficult. Not any more! Introducing #StopSmokingLaser Call: 800-518-3055  https://t.co/JdOi5PkbvM #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/FphAG7ECHX","[{'text': 'QuittingSmoking', 'indices': [0, 16]}, {'text': 'StopSmokingLaser', 'indices': [57, 74]}, {'text': 'stopsmokinglaser', 'indices': [119, 136]}, {'text': 'quitsmoking', 'indices': [137, 149]}, {'text': 'Smokingcessation', 'indices': [150, 167]}, {'text': 'laserstopsmokingnj', 'indices': [168, 187]}, {'text': 'stopsmokingnearme', 'indices': [188, 206]}, {'text': 'stopsmokinglasernj', 'indices': [207, 226]}]"
MediSpaNJ,718623348,USA,247,none,2022-04-20 20:57:03+00:00,"
#QuittingSmoking is difficult. Not any more! Introducing #StopSmokingLaser Call: 800-518-3055  https://t.co/GNQtkqjva2 #stopsmokinglaser #quitsmoking #Smokingcessation #laserstopsmokingnj #stopsmokingnearme #stopsmokinglasernj https://t.co/DdxMnSuZFC","[{'text': 'QuittingSmoking', 'indices': [0, 16]}, {'text': 'StopSmokingLaser', 'indices': [57, 74]}, {'text': 'stopsmokinglaser', 'indices': [119, 136]}, {'text': 'quitsmoking', 'indices': [137, 149]}, {'text': 'Smokingcessation', 'indices': [150, 167]}, {'text': 'laserstopsmokingnj', 'indices': [168, 187]}, {'text': 'stopsmokingnearme', 'indices': [188, 206]}, {'text': 'stopsmokinglasernj', 'indices': [207, 226]}]"
dia_tar,29633473,Chicago,320,none,2022-04-20 20:28:45+00:00,"
Happy 4/20. Today marks 10 years no smoking cigarettes for me.  Look at those stats!!!!!!!!!
#quitsmoking #cigarettes #recoveryispossible #nosmoking #quitnow https://t.co/SEcxfoDrXb","[{'text': 'quitsmoking', 'indices': [93, 105]}, {'text': 'cigarettes', 'indices': [106, 117]}, {'text': 'recoveryispossible', 'indices': [118, 137]}, {'text': 'nosmoking', 'indices': [138, 148]}, {'text': 'quitnow', 'indices': [149, 157]}]"
PreventiveBot,1375244479049895941,,755,SmokefreeUs,2022-04-20 19:42:18+00:00,"
RT @SmokefreeUs: #DYK every state has a quitline with counselors trained specifically to help people #QuitSmoking? Have your quitter call 8…","[{'text': 'DYK', 'indices': [17, 21]}, {'text': 'QuitSmoking', 'indices': [101, 113]}]"
SmokefreeUs,71293111,Everywhere,20604,none,2022-04-20 19:35:01+00:00,"
#DYK every state has a quitline with counselors trained specifically to help people #QuitSmoking? Have your quitter call 800-QUIT-NOW (800-784-8669) to connect directly to their state's quitline! Check out more ways to get support: https://t.co/7qzPk4id7N https://t.co/y1oyGbqMPv","[{'text': 'DYK', 'indices': [0, 4]}, {'text': 'QuitSmoking', 'indices': [84, 96]}]"
mycigara,2182047146,"Sheffield, England",1567,none,2022-04-20 19:01:44+00:00,"
Get Hoppin' Before You Miss The Savings😀

Get this limited deal today 👉https://t.co/7QHopz2eNJ

#vapedeals #uk #mycigara #easter #quitsmoking #savings #offer #save #vape #vaping #smokefree https://t.co/lTdaGIrb9d","[{'text': 'vapedeals', 'indices': [96, 106]}, {'text': 'uk', 'indices': [107, 110]}, {'text': 'mycigara', 'indices': [111, 120]}, {'text': 'easter', 'indices': [121, 128]}, {'text': 'quitsmoking', 'indices': [129, 141]}, {'text': 'savings', 'indices': [142, 150]}, {'text': 'offer', 'indices': [151, 157]}, {'text': 'save', 'indices': [158, 163]}, {'text': 'vape', 'indices': [164, 169]}, {'text': 'vaping', 'indices': [170, 177]}, {'text': 'smokefree', 'indices': [178, 188]}]"
888vapour,2148330658,"Lincoln, UK",784,none,2022-04-20 17:00:35+00:00,"
Meet the VooPoo Vinci, a lightweight and portable device that serves up a satisfying and tasty MTL vape 🤤

Get your hands on one now for just £19.99, in-store &amp; online at 888 Vapour 👈

#888vapour #voopoo #vape #vaping #quitsmoking #vapelyfe #vapecommunity #vapenation #eliquid https://t.co/K48cxNicG8","[{'text': '888vapour', 'indices': [189, 199]}, {'text': 'voopoo', 'indices': [200, 207]}, {'text': 'vape', 'indices': [208, 213]}, {'text': 'vaping', 'indices': [214, 221]}, {'text': 'quitsmoking', 'indices': [222, 234]}, {'text': 'vapelyfe', 'indices': [235, 244]}, {'text': 'vapecommunity', 'indices': [245, 259]}, {'text': 'vapenation', 'indices': [260, 271]}, {'text': 'eliquid', 'indices': [272, 280]}]"
WetWaif,851363798434799617,Φ ・ they・ Null XX・💮🐾📌🐺🧷⛑,1063,ucanquit2,2022-04-20 16:32:02+00:00,"
RT @ucanquit2: #FACT: After you #quitsmoking, in just 2 weeks, your lung function will improve. Within 1-9 months, shortness of breath will…","[{'text': 'FACT', 'indices': [15, 20]}, {'text': 'quitsmoking', 'indices': [32, 44]}]"
PVapes,703565664,United Kingdom,26282,none,2022-04-20 16:30:03+00:00,"
A new study looking at how vaping helps pregnant smokers quit and remain smoke-free has been published

https://t.co/pd75AxIWWF @bmj_latest #vape #vapingnews #harmreduction #smokefree #pregnancy #quitsmoking https://t.co/WvxwNMcpnc","[{'text': 'vape', 'indices': [140, 145]}, {'text': 'vapingnews', 'indices': [146, 157]}, {'text': 'harmreduction', 'indices': [158, 172]}, {'text': 'smokefree', 'indices': [173, 183]}, {'text': 'pregnancy', 'indices': [184, 194]}, {'text': 'quitsmoking', 'indices': [195, 207]}]"
nhenews,75236427,Manchester,14621,none,2022-04-20 16:10:00+00:00,"
Health Secretary Sajid Javid has branded a new NHS scheme to catch lung cancer earlier as “exactly what we need”, as hundreds have already benefitted.

Read more below ↓

@SajidJavid #health #NHS #quitsmoking","[{'text': 'health', 'indices': [183, 190]}, {'text': 'NHS', 'indices': [191, 195]}, {'text': 'quitsmoking', 'indices': [196, 208]}]"
Rioteliquid,784076652225650689,United Kingdom,6629,none,2022-04-20 15:17:01+00:00,"
This #VAPRIL we want to know some of the main ways quitting smoking and converting to vaping has helped you! 🚭

Let us know in the comments! 👊 

#vapril #quitsmoking #vape #eliquid https://t.co/hmlgMqrZxX","[{'text': 'VAPRIL', 'indices': [5, 12]}, {'text': 'vapril', 'indices': [145, 152]}, {'text': 'quitsmoking', 'indices': [153, 165]}, {'text': 'vape', 'indices': [166, 171]}, {'text': 'eliquid', 'indices': [172, 180]}]"
ecigitesztek,2156012966,"Budapest, Magyarország",2981,geekbarvape,2022-04-20 14:52:51+00:00,"
RT @geekbarvape: Geekbar S600 just like Yordles.
Small yet mighty!
😍 600 puffs
🍯 2ml
🧃 2% Nic
⚡ 500mAh

Warning: You must be 21+ to follow…",[]
abileshmg,147679275,"Chennai, India",163,KyvorGenomics,2022-04-20 14:45:23+00:00,"
RT @KyvorGenomics: Remember, when you light a cigarette, your life burns with it. Quit Smoking.

#kyvor #kyvorgenomics #CANCER  #cancersurv…","[{'text': 'kyvor', 'indices': [97, 103]}, {'text': 'kyvorgenomics', 'indices': [104, 118]}, {'text': 'CANCER', 'indices': [119, 126]}]"
PreventiveBot,1375244479049895941,,755,geekbarvape,2022-04-20 14:41:47+00:00,"
RT @geekbarvape: Geekbar S600 just like Yordles.
Small yet mighty!
😍 600 puffs
🍯 2ml
🧃 2% Nic
⚡ 500mAh

Warning: You must be 21+ to follow…",[]
geekbarvape,1266314667258834945,,142,none,2022-04-20 14:35:02+00:00,"
Geekbar S600 just like Yordles.
Small yet mighty!
😍 600 puffs
🍯 2ml
🧃 2% Nic
⚡ 500mAh

Warning: You must be 21+ to follow us and vape. 
#geekbar #vaping #ecigarette #ecig #vape #vapingfresh #disposablevape #newarrivals #quitsmoking #yordles #LeagueofLegends #lol https://t.co/46L7GXcWS0","[{'text': 'geekbar', 'indices': [136, 144]}, {'text': 'vaping', 'indices': [145, 152]}, {'text': 'ecigarette', 'indices': [153, 164]}, {'text': 'ecig', 'indices': [165, 170]}, {'text': 'vape', 'indices': [171, 176]}, {'text': 'vapingfresh', 'indices': [177, 189]}, {'text': 'disposablevape', 'indices': [190, 205]}, {'text': 'newarrivals', 'indices': [206, 218]}, {'text': 'quitsmoking', 'indices': [219, 231]}, {'text': 'yordles', 'indices': [232, 240]}, {'text': 'LeagueofLegends', 'indices': [241, 257]}, {'text': 'lol', 'indices': [258, 262]}]"
